encoder initial position;2250;2450;2650;2850;3050;;;;;
initial load [%];5,6;5,2;5;11.2;13.5;;;;;
mass [kg];load [%];load [%];load [%];load [%];load [%];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm]
0,5184;6,2;6,2;6,7;11,20;13,5;0,075244936;0,075244936;0,081313076;0,135926335;0,163839779
1,0184;7,3;7,3;7,8;10,1;12,4;0,088594843;0,088594843;0,094662983;0,122576427;0,150489871
1,5184;8,4;9;8,4;10,7;12,8;0,101944751;0,109226519;0,101944751;0,129858195;0,155344383
2,0184;10,1;10,7;9;11,2;12,9;0,122576427;0,129858195;0,109226519;0,135926335;0,156558011
2,5184;10,1;12.40;9,9;12,4;11,2;0,122576427;0,006405259;0,120149171;0,150489871;0,135926335
